structId,sortId,name,description,area,category,skill,tier,tierName,completionPercent,skills,wikiNotes
2631,0,Defeat a Moss Giant,Defeat a Moss Giant,Global,Combat,All,1,Easy,84.8,,
2633,1,Defeat a Goblin,Defeat a Goblin,Global,Combat,All,1,Easy,92.2,,
2634,2,Defeat a Guard,Defeat a Guard,Global,Combat,All,1,Easy,86.4,,
5456,3,1 Wintertodt Kill,Help the pyromancers subdue the Wintertodt,Kourend & Kebos,Skill,,1,Easy,76.1,FIREMAKING 50,50 Firemaking
5468,4,Complete 1 Farming Contract,Complete a Farming Contract for Guildmaster Jane in the Farming Guild,Kourend & Kebos,Skill,,1,Easy,67.6,FARMING 45,45 Farming
2639,5,Restore 5 Prayer Points at an Altar,Restore 5 or more Prayer Points at any altar,Global,Combat,,1,Easy,84.9,PRAYER 5,5 Prayer
2640,6,Superhuman Strength and Improved Reflexes,Use both the Superhuman Strength prayer and the Improved Reflexes prayer at the same time,Global,Combat,,1,Easy,81.5,PRAYER 16,16 Prayer
2641,7,Bury Some Bones,Bury any kind of Bones,Global,Combat,,1,Easy,92.2,,
5546,8,1 Sarachnis Kill,Kill Sarachnis in the Forthos Dungeon,Kourend & Kebos,Combat,All,1,Easy,67.5,,
2642,9,Visit Ferox Enclave,Visit Ferox Enclave,Wilderness,Other,All,1,Easy,98.1,,
5630,10,Open 1 Grubby Chest,Open the grubby chest in the Forthos Dungeon,Kourend & Kebos,Combat,All,1,Easy,50.5,THIEVING 57,57 Thieving
5644,11,Turn in 1 Library Book,Find and turn in a book in the Arceuus Library,Kourend & Kebos,Skill,All,1,Easy,83.6,,
5693,12,Bank at Land's End,Open your Bank using the Bank at Land's End,Kourend & Kebos,Other,All,1,Easy,80.8,,
5694,13,Bank at Mount Quidamortem,Open your Bank using the Bank at Mount Quidamortem,Kourend & Kebos,Other,All,1,Easy,83.7,,
5695,14,Travel to Molch Island,Take one of the boats around Lake Molch to Molch Island,Kourend & Kebos,Other,All,1,Easy,79.9,,
2645,15,Open the Leagues Menu,Open the Leagues Menu found within the Journal Panel,Global,Other,All,1,Easy,96.4,,
2646,16,Complete the Leagues Tutorial,Complete the Leagues Tutorial and begin your adventure,Global,Other,All,1,Easy,95.9,,
2647,17,Achieve Your First Level Up,Level up any of your skills for the first time,Global,Skill,All,1,Easy,94.4,,
2648,18,Achieve Your First Level 5,"Reach level 5 in any skill (not including Agility, Hitpoints and Runecraft)",Global,Skill,All,1,Easy,93.9,,
2649,19,Achieve Your First Level 10,Reach level 10 in any skill (not including Agility and Hitpoints),Global,Skill,All,1,Easy,93.4,,
2650,20,Achieve Your First Level 20,Reach level 20 in any skill,Global,Skill,All,1,Easy,92.7,,
1764,21,Pickpocket a Citizen,Pickpocket a Man or a Woman,Global,Skill,,1,Easy,92.6,,
