structId,sortId,name,description,area,category,skill,tier,tierName,completionPercent,skillRequirements,wikiNotes,classification
2576,0,Burn Some Coloured Logs,Burn some logs that have been coloured with a firelighter,Global,Minigame,,1,Easy,58.1,,,
2580,1,Eat some Purple Sweets,Eat some Purple Sweets,Global,Minigame,,1,Easy,63,,,
2621,2,Gain a Unique Item From an Easy Clue,Gain a unique item from an Easy Clue Scroll Reward Casket,Global,Minigame,,1,Easy,54.1,,,
2624,3,Gain a Unique Item From a Beginner Clue,Gain a unique item from a Beginner Clue Scroll Reward Casket,Global,Minigame,,1,Easy,,,,
2631,4,Defeat a Moss Giant,Defeat a Moss Giant,Global,Combat,,1,Easy,,,,
2633,5,Defeat a Goblin,Defeat a Goblin,Global,Combat,,1,Easy,,,,
2634,6,Defeat a Guard,Defeat a Guard,Global,Combat,,1,Easy,,,,
2637,7,Equip a Wizard Robe and Hat,Equip any wizard robe along with any wizard hat,Global,Combat,Magic,1,Easy,,,,
2639,8,Restore 5 Prayer Points at an Altar,Restore 5 or more Prayer Points at any altar,Global,Combat,Prayer,1,Easy,4.2,,,
2640,9,Superhuman Strength and Improved Reflexes,Use both the Superhuman Strength prayer and the Improved Reflexes prayer at the same time,Global,Combat,Prayer,1,Easy,,,,
2641,10,Bury Some Bones,Bury any kind of Bones,Global,Combat,Prayer,1,Easy,,,,
2642,11,Visit Ferox Enclave,Visit Ferox Enclave,Wilderness,Other,,1,Easy,,,,
2645,12,Open the Leagues Menu,Open the Leagues Menu found within the Journal Panel,Global,Other,,1,Easy,,,,
2646,13,Complete the Leagues Tutorial,Complete the Leagues Tutorial and begin your adventure,Global,Other,,1,Easy,,,,
2647,14,Achieve Your First Level Up,Level up any of your skills for the first time,Global,Skill,,1,Easy,,,,
2648,15,Achieve Your First Level 5,"Reach level 5 in any skill (not including Agility, Hitpoints and Runecraft)",Global,Skill,,1,Easy,,,,
2649,16,Achieve Your First Level 10,Reach level 10 in any skill (not including Agility and Hitpoints),Global,Skill,,1,Easy,,,,
2650,17,Achieve Your First Level 20,Reach level 20 in any skill,Global,Skill,,1,Easy,,,,
2659,18,Reach Total Level 100,Reach a Total Level of 100,Global,Skill,,1,Easy,,,,
2660,19,Reach Total Level 250,Reach a Total Level of 250,Global,Skill,,1,Easy,,,,
2661,20,Reach Total Level 500,Reach a Total Level of 500,Global,Skill,,1,Easy,,,,
2671,21,Reach Base Level 5,Reach level 5 in every skill,Global,Skill,,1,Easy,,,,
2672,22,Reach Base Level 10,Reach level 10 in every skill,Global,Skill,,1,Easy,,,,
2673,23,Reach Base Level 20,Reach level 20 in every skill,Global,Skill,,1,Easy,,,,
1764,24,Pickpocket a Citizen,Pickpocket a Man or a Woman,Global,Skill,Thieving,1,Easy,71.1,FARMING 54,100%  Hosidius favour,
4820,25,Open 28 Coin Pouches At Once,Open 28 Coin Pouches at once,Global,Skill,Thieving,1,Easy,69.4,FARMING 74,100%  Hosidius favour,
4821,26,Steal a Chocolate Slice,Steal a Chocolate Slice from a Bakery Stall,Global,Skill,Thieving,1,Easy,,,,
