structId,sortId,name,description,area,category,skill,tier,tierName,completionPercent,skillRequirements,wikiNotes,classification
2633,0,Defeat a Goblin,Defeat a Goblin,Global,Combat,,1,Easy,,,,
2641,1,Bury Some Bones,Bury any kind of Bones,Global,Combat,Prayer,1,Easy,,,,
2642,2,Visit Ferox Enclave,Visit Ferox Enclave,Wilderness,Other,,1,Easy,,,,
5644,3,Turn in 1 Library Book,Find and turn in a book in the Arceuus Library,Kourend & Kebos,Skill,,1,Easy,,,,
5967,4,Turn in 10 Library Books,Find and turn in 10 books in the Arceuus Library,Kourend & Kebos,Skill,,1,Easy,,,,
5693,5,Bank at Land's End,Open your Bank using the Bank at Land's End,Kourend & Kebos,Other,,1,Easy,,,,
5694,6,Bank at Mount Quidamortem,Open your Bank using the Bank at Mount Quidamortem,Kourend & Kebos,Other,,1,Easy,,,,
5695,7,Travel to Molch Island,Take one of the boats around Lake Molch to Molch Island,Kourend & Kebos,Other,,1,Easy,,,6.4%,
2645,8,Open the Leagues Menu,Open the Leagues Menu found within the Journal Panel,Global,Other,,1,Easy,,,,
2646,9,Complete the Leagues Tutorial,Complete the Leagues Tutorial and begin your adventure,Global,Other,,1,Easy,,,,
2647,10,Achieve Your First Level Up,Level up any of your skills for the first time,Global,Skill,,1,Easy,,,,
2648,11,Achieve Your First Level 5,"Reach level 5 in any skill (not including Agility, Hitpoints and Runecraft)",Global,Skill,,1,Easy,,,61%,
2649,12,Achieve Your First Level 10,Reach level 10 in any skill (not including Agility and Hitpoints),Global,Skill,,1,Easy,,,48%,
2650,13,Achieve Your First Level 20,Reach level 20 in any skill,Global,Skill,,1,Easy,,,,
1764,14,Pickpocket a Citizen,Pickpocket a Man or a Woman,Global,Skill,Thieving,1,Easy,,,34%,
4820,15,Open 28 Coin Pouches At Once,Open 28 Coin Pouches at once,Global,Skill,Thieving,1,Easy,,,34%,
4821,16,Steal a Chocolate Slice,Steal a Chocolate Slice from a Bakery Stall,Global,Skill,Thieving,1,Easy,,,51%,
1771,17,Rake a Farming Patch,Rake any Farming patch,Global,Skill,Farming,1,Easy,,,,
1772,18,Plant Seeds in an Allotment Patch,Plant some seeds in an Allotment patch,Global,Skill,Farming,1,Easy,,,85%,
4825,19,Chop Some Logs,Chop any kind of logs,Global,Skill,Woodcutting,1,Easy,,,,
4828,20,Cook Shrimp,Cook Raw Shrimp,Global,Skill,Cooking,1,Easy,,,,
1788,21,Burn Some Food,Burn any kind of food while trying to cook it,Global,Skill,Cooking,1,Easy,,,,
1794,22,Mine some Copper Ore,Mine some Copper Ore,Global,Skill,Mining,1,Easy,,,,
1801,23,Fletch Some Arrow Shafts,Fletch some Arrow Shafts,Global,Skill,Fletching,1,Easy,,,,
1809,24,Receive a Slayer Task,Receive a Slayer Task from any Slayer Master,Global,Combat,Slayer,1,Easy,,,,
1824,25,Spin a Ball of Wool,Use a Spinning Wheel to spin a Ball of Wool,Global,Skill,Crafting,1,Easy,,,5.7%,
1833,26,Catch a Shrimp,Catch Raw Shrimp while Fishing,Global,Skill,Fishing,1,Easy,,,7.4%,
1834,27,Catch a Herring,Catch a Raw Herring whilst Fishing,Global,Skill,Fishing,1,Easy,,,2.1%,
