structId,sortId,name,description,area,category,skill,tier,tierName,completionPercent,skillRequirements,wikiNotes,classification
5286,0,Complete Client of Kourend,Complete the Client of Kourend quest,Kourend & Kebos,Quest,,1,Easy,84,,"Exempted from area restrictions since 23 November 2023 (completed for  Fremennik✓), despite the in-game description",
5287,1,Complete Queen of Thieves,Complete the Queen of Thieves quest,Kourend & Kebos,Quest,,1,Easy,68.7,THIEVING 20,20%  Piscarilius favour,
5288,2,Complete Forsaken Tower,Complete the Forsaken Tower quest,Kourend & Kebos,Quest,,1,Easy,63.6,,20%  Lovakengj favour,
5289,3,Complete Ascent of Arceuus,Complete the Ascent of Arceuus quest,Kourend & Kebos,Quest,,1,Easy,60.9,HUNTER 12,20%  Arceuus favour,
5290,4,Complete Depths of Despair,Complete the Depths of Despair quest,Kourend & Kebos,Quest,,1,Easy,66.6,AGILITY 18,20%  Hosidius favour,
5291,5,Complete Tale Of The Righteous,Complete the Tale of the Righteous quest,Kourend & Kebos,Quest,,1,Easy,60.6,MINING 10; STRENGTH 16,", 20%  Shayzien favour",
5292,6,Complete In Search Of Knowledge,Complete the mini-quest 'In Search Of Knowledge',Kourend & Kebos,Quest,,1,Easy,19.8,,,
5293,7,Complete Architectural Alliance,Complete the mini-quest 'Architectural Alliance',Kourend & Kebos,Quest,,1,Easy,57.6,MINING 42,100% of each type of  Kourend favour,
2576,8,Burn Some Coloured Logs,Burn some logs that have been coloured with a firelighter,Global,Minigame,,1,Easy,58.1,,,
2580,9,Eat some Purple Sweets,Eat some Purple Sweets,Global,Minigame,,1,Easy,63,,,
2621,10,Gain a Unique Item From an Easy Clue,Gain a unique item from an Easy Clue Scroll Reward Casket,Global,Minigame,,1,Easy,54.1,,,
2624,11,Gain a Unique Item From a Beginner Clue,Gain a unique item from a Beginner Clue Scroll Reward Casket,Global,Minigame,,1,Easy,,,,
2631,12,Defeat a Moss Giant,Defeat a Moss Giant,Global,Combat,,1,Easy,,,,
2633,13,Defeat a Goblin,Defeat a Goblin,Global,Combat,,1,Easy,,,,
2634,14,Defeat a Guard,Defeat a Guard,Global,Combat,,1,Easy,,,,
5456,15,1 Wintertodt Kill,Help the pyromancers subdue the Wintertodt,Kourend & Kebos,Skill,Firemaking,1,Easy,13.3,,,
5468,16,Complete 1 Farming Contract,Complete a Farming Contract for Guildmaster Jane in the Farming Guild,Kourend & Kebos,Skill,Farming,1,Easy,,,,
2639,17,Restore 5 Prayer Points at an Altar,Restore 5 or more Prayer Points at any altar,Global,Combat,Prayer,1,Easy,4.2,,,
2640,18,Superhuman Strength and Improved Reflexes,Use both the Superhuman Strength prayer and the Improved Reflexes prayer at the same time,Global,Combat,Prayer,1,Easy,,,,
2641,19,Bury Some Bones,Bury any kind of Bones,Global,Combat,Prayer,1,Easy,,,,
5546,20,1 Sarachnis Kill,Kill Sarachnis in the Forthos Dungeon,Kourend & Kebos,Combat,,1,Easy,13,,,
